,Amazon_Product_Name,Amazon_Retail_Price,Amazon_Discounted_Price,Flipkart_Product_Name,Flipkart_Retail_Price,Flipkart_Discounted_Price
0,Alisha Solid Women's Cycling Shorts,982,438,Alisha Solid Women's Cycling Shorts,999.0,379.0
1,FabHomeDecor Fabric Double Sofa Bed,32143,29121,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0
2,AW Bellies,991,551,AW Bellies,999.0,499.0
3,Alisha Solid Women's Cycling Shorts,694,325,Alisha Solid Women's Cycling Shorts,699.0,267.0
4,Sicons All Purpose Arnica Dog Shampoo,208,258,Sicons All Purpose Arnica Dog Shampoo,220.0,210.0
5,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,427,473,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0
6,Alisha Solid Women's Cycling Shorts,1198,602,Alisha Solid Women's Cycling Shorts,1199.0,479.0
7,FabHomeDecor Fabric Double Sofa Bed,32137,28664,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0
8,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682,385,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0
9,Alisha Solid Women's Cycling Shorts,1197,542,Alisha Solid Women's Cycling Shorts,1199.0,479.0
10,Ladela Bellies,1705,1119,Ladela Bellies,1724.0,950.0
11,Carrel Printed Women's,2281,1080,Carrel Printed Women's,2299.0,910.0
12,Sicons All Purpose Tea Tree Dog Shampoo,-11,0,Sicons All Purpose Tea Tree Dog Shampoo,,
13,Alisha Solid Women's Cycling Shorts,990,479,Alisha Solid Women's Cycling Shorts,999.0,379.0
14,Freelance Vacuum Bottles 350 ml Bottle,690,822,Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0
15,Alisha Solid Women's Cycling Shorts,995,434,Alisha Solid Women's Cycling Shorts,999.0,379.0
16,FabHomeDecor Fabric Double Sofa Bed,32150,28650,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0
17,Style Foot Bellies,894,514,Style Foot Bellies,899.0,449.0
18,Carrel Printed Women's,2482,1156,Carrel Printed Women's,2499.0,999.0
19,FabHomeDecor Fabric Double Sofa Bed,32144,26423,FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0
20,SICONS CONDITIONING CONDITONER DOG SHAMPOO,97,119,Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0
21,ALISHA SOLID WOMEN'S CYCLING ShorTS,-2,0,Alisha Solid Women's Cycling Shorts,,
22,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382,1254,dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0
23,SWAGGA WOMEN CLOGS,1490,1821,SWAGGA Women Clogs,1500.0,1500.0
24,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,185,209,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0
